<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
PLZL;D;220610;000000;10,515.5;10,598.5;10,126.5;10,192;56,305
PLZL;D;220614;000000;10,160;10,357;10,010.5;10,300;40,297
PLZL;D;220615;000000;10,248;10,300;10,114;10,152;30,870
PLZL;D;220616;000000;10,240;10,250;10,100;10,245;39,760
PLZL;D;220617;000000;10,248.5;10,350.5;10,115;10,350.5;43,416
PLZL;D;220620;000000;10,320.5;10,408.5;10,150;10,228;69,926
PLZL;D;220621;000000;10,220;10,239;9,730;9,777;107,336
PLZL;D;220622;000000;9,690;9,690;9,460;9,609.5;100,575
PLZL;D;220623;000000;9,550;9,569;9,106.5;9,288;119,568
PLZL;D;220624;000000;9,295;9,439.5;9,122;9,431.5;81,152
PLZL;D;220627;000000;9,140;9,220;9,002;9,220;97,990
PLZL;D;220628;000000;9,183;9,220;9,010;9,101;60,878
PLZL;D;220629;000000;9,094.5;9,379.5;9,041;9,225;76,740
PLZL;D;220630;000000;9,261;9,290;8,824.5;8,850;102,572
PLZL;D;220701;000000;8,825.5;8,958.5;8,362.5;8,464;98,358
PLZL;D;220704;000000;8,489.5;8,505;7,855.5;7,997.5;169,221
PLZL;D;220705;000000;7,967;8,174;7,925;8,100;106,483
PLZL;D;220706;000000;8,090;8,300;7,980;8,020;92,046
PLZL;D;220707;000000;8,027.5;8,342;8,009;8,225;97,232
PLZL;D;220708;000000;8,306.5;8,496;8,120;8,376;74,441
PLZL;D;220711;000000;8,399;8,673;8,280;8,484;121,090
PLZL;D;220712;000000;8,510.5;8,567;8,129;8,320;79,672
PLZL;D;220713;000000;8,350;8,388.5;7,862;8,171;113,092
PLZL;D;220714;000000;8,149.5;8,342;8,071;8,182;50,082
PLZL;D;220715;000000;8,206;8,375;8,120;8,375;32,645
PLZL;D;220718;000000;8,360;8,494;8,271.5;8,271.5;39,643
PLZL;D;220719;000000;8,292.5;8,344;8,107;8,260;28,156
PLZL;D;220720;000000;8,260;8,353;8,117;8,179.5;33,777
PLZL;D;220721;000000;8,132;8,168;7,870.5;7,933.5;81,895
PLZL;D;220722;000000;7,910;7,913;7,511;7,717;94,565
PLZL;D;220725;000000;7,701.5;7,843;7,539;7,676.5;93,347
PLZL;D;220726;000000;7,678.5;7,998.5;7,676;7,998.5;61,088
PLZL;D;220727;000000;8,010;8,279;8,004.5;8,155.5;74,065
PLZL;D;220728;000000;8,242;8,373.5;7,958;8,242.5;78,526
PLZL;D;220729;000000;8,299;8,644;8,195;8,644;92,950
PLZL;D;220801;000000;8,654.5;8,850.5;8,275;8,527;206,626
PLZL;D;220802;000000;8,500.5;8,648;8,095.5;8,095.5;90,287
PLZL;D;220803;000000;8,115;8,166.5;7,775;7,813;179,656
PLZL;D;220804;000000;7,825.5;7,865;7,479;7,514;167,383
PLZL;D;220805;000000;7,506;7,550;7,155.5;7,261;183,016
PLZL;D;220808;000000;7,262;7,535;7,200;7,200;137,166
PLZL;D;220809;000000;7,207.5;7,250;6,951;7,100;204,113
PLZL;D;220810;000000;7,110;7,476;7,004;7,439;182,514
PLZL;D;220811;000000;7,460;7,677;7,350;7,475.5;186,736
PLZL;D;220812;000000;7,489;7,535.5;7,325;7,510;104,164
PLZL;D;220815;000000;7,518;7,699.5;7,440.5;7,610;79,554
PLZL;D;220816;000000;7,637.5;7,979;7,603.5;7,975;129,914
PLZL;D;220817;000000;8,020;8,077;7,782.5;7,855;110,938
PLZL;D;220818;000000;7,855;7,897;7,670;7,814.5;104,064
PLZL;D;220819;000000;7,802;7,945;7,727;7,890;64,753
PLZL;D;220822;000000;7,820;7,880;7,714.5;7,750;67,938
PLZL;D;220823;000000;7,750;7,850.5;7,714;7,820;51,834
PLZL;D;220824;000000;7,833;7,935;7,820;7,908;55,527
PLZL;D;220825;000000;7,930;8,182.5;7,930;8,001;117,446
PLZL;D;220826;000000;8,017.5;8,235;7,862;8,197;88,861
PLZL;D;220829;000000;8,200;8,230;8,050;8,198;69,341
PLZL;D;220830;000000;8,198;8,412.5;8,146;8,180;149,692
PLZL;D;220831;000000;8,200;8,320;8,060;8,320;98,492
PLZL;D;220901;000000;8,286.5;8,358;8,155.5;8,275;77,230
PLZL;D;220902;000000;8,300;8,378.5;8,276;8,378.5;72,012
PLZL;D;220905;000000;8,380;8,448.5;8,248.5;8,315;119,071
PLZL;D;220906;000000;8,324;8,595;7,757.5;8,050;535,789
PLZL;D;220907;000000;8,052.5;8,147.5;7,934.5;7,970;99,162
PLZL;D;220908;000000;8,049;8,050;7,951;7,975;61,662
PLZL;D;220909;000000;8,010;8,225;8,010;8,208;145,517
PLZL;D;220912;000000;8,218;8,344.5;8,170;8,314.5;81,491
PLZL;D;220913;000000;8,320;8,364.5;8,170;8,182;86,141
PLZL;D;220914;000000;8,137;8,168;8,019;8,152;67,743
PLZL;D;220915;000000;8,140;8,177;8,075;8,110;57,923
PLZL;D;220916;000000;8,102.5;8,133;7,771;8,032;77,819
PLZL;D;220919;000000;8,035;8,145;7,958;8,072;66,185
PLZL;D;220920;000000;8,095;8,130;7,196;7,448;240,583
