<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SELG;D;220610;000000;48.5;50.55;48.33;49.69;2,213,400
SELG;D;220614;000000;50;50.89;49.71;50;2,228,570
SELG;D;220615;000000;50.15;50.3;49.8;50.09;1,092,210
SELG;D;220616;000000;50.17;51.88;50.09;51.84;2,403,350
SELG;D;220617;000000;51.53;52.68;50.52;52.04;2,848,390
SELG;D;220620;000000;46.84;48.71;43.67;48.11;3,739,720
SELG;D;220621;000000;48;48.11;46.15;46.38;1,539,420
SELG;D;220622;000000;46.35;46.35;43.5;45.01;2,114,510
SELG;D;220623;000000;45.03;46;44.56;45.23;824,550
SELG;D;220624;000000;45.25;45.8;44.84;44.84;559,210
SELG;D;220627;000000;44.01;44.18;43;43.58;1,276,450
SELG;D;220628;000000;43.83;43.87;41;42.1;1,100,510
SELG;D;220629;000000;42.2;42.4;41.1;41.67;949,490
SELG;D;220630;000000;41.99;41.99;38.66;40.79;1,617,850
SELG;D;220701;000000;41.39;41.39;39.04;39.99;795,170
SELG;D;220704;000000;40;40.75;39.13;39.52;486,200
SELG;D;220705;000000;39.53;40.04;39;39.5;554,300
SELG;D;220706;000000;39.7;40.05;39.1;39.6;560,860
SELG;D;220707;000000;39.65;40.66;39.39;40.08;764,930
SELG;D;220708;000000;40.67;40.67;39.52;40.1;517,930
SELG;D;220711;000000;40.1;40.23;39.4;39.5;451,370
SELG;D;220712;000000;39.51;39.57;38.02;38.24;733,040
SELG;D;220713;000000;38.9;38.94;36.1;36.64;664,900
SELG;D;220714;000000;36.37;36.42;34.8;35;1,204,980
SELG;D;220715;000000;35.04;35.95;34.24;35.31;515,390
SELG;D;220718;000000;35.7;36.92;35;36.01;619,940
SELG;D;220719;000000;36.73;36.73;35.24;35.73;528,990
SELG;D;220720;000000;35.73;36.03;35;35.09;486,210
SELG;D;220721;000000;35.29;35.29;33.88;34.17;472,130
SELG;D;220722;000000;34.31;34.95;34;34.5;299,870
SELG;D;220725;000000;34.89;35.91;33.5;35.46;1,014,580
SELG;D;220726;000000;35.8;37.93;35.35;37.37;1,299,010
SELG;D;220727;000000;37.4;39.8;37.39;38.27;1,172,130
SELG;D;220728;000000;39.66;41.79;38.69;41.65;2,486,800
SELG;D;220729;000000;42.07;45.97;41.82;44;2,998,180
SELG;D;220801;000000;44.26;45.7;41.6;42.75;2,484,680
SELG;D;220802;000000;43;43.4;40.4;41.01;1,184,350
SELG;D;220803;000000;41.16;43.7;41.16;42.25;840,890
SELG;D;220804;000000;42.5;42.98;40.71;42.9;868,710
SELG;D;220805;000000;42.93;44.82;42.45;42.81;1,758,340
SELG;D;220808;000000;43.89;44.28;42.87;43.88;541,590
SELG;D;220809;000000;44.69;44.69;43.5;43.93;746,250
SELG;D;220810;000000;44.52;44.52;43.08;44.16;495,400
SELG;D;220811;000000;44.4;44.49;43.27;43.75;365,450
SELG;D;220812;000000;43.75;43.99;43.4;43.78;395,010
SELG;D;220815;000000;43.92;45;43.49;44.2;446,780
SELG;D;220816;000000;44.4;45.15;44.04;44.9;505,920
SELG;D;220817;000000;45.19;45.29;44.22;44.54;237,350
SELG;D;220818;000000;44.78;46.4;44.61;45.73;947,690
SELG;D;220819;000000;46.51;49.49;45.73;48.39;3,115,230
SELG;D;220822;000000;47.03;47.62;45.01;46.28;1,820,950
SELG;D;220823;000000;45.93;47.87;45.8;46.52;877,730
SELG;D;220824;000000;46.5;47.16;46;46.16;345,370
SELG;D;220825;000000;46.49;47.8;46.2;46.6;1,241,080
SELG;D;220826;000000;46.9;48.25;46.65;47.45;1,073,590
SELG;D;220829;000000;47.53;48.33;43.67;47.23;1,209,340
SELG;D;220830;000000;48.74;48.74;47.49;47.52;1,464,990
SELG;D;220831;000000;47.32;47.9;46.07;46.95;1,105,770
SELG;D;220901;000000;46.99;47;45.75;46.08;1,163,160
SELG;D;220902;000000;46.13;47.47;45.06;46.53;2,439,280
SELG;D;220905;000000;46.54;47.5;46.11;47.01;698,460
SELG;D;220906;000000;46.8;48.2;45.2;46.18;2,312,410
SELG;D;220907;000000;46.18;46.4;45.5;45.85;331,240
SELG;D;220908;000000;45.96;46.4;45.9;45.94;282,220
SELG;D;220909;000000;46.19;46.32;45.46;45.84;528,570
SELG;D;220912;000000;45.97;46.26;45.09;45.8;614,250
SELG;D;220913;000000;46.11;46.96;46.05;46.4;1,126,530
SELG;D;220914;000000;46.4;46.75;45.85;46.11;342,760
SELG;D;220915;000000;46.15;46.28;45.8;45.9;268,610
SELG;D;220916;000000;45.9;46.24;45;45.2;515,190
SELG;D;220919;000000;45.19;45.85;45.1;45.41;223,500
SELG;D;220920;000000;45.25;45.41;40.4;41.22;1,105,510
SELG;D;220921;000000;37.28;40.48;33.02;39.98;1,262,760
SELG;D;220922;000000;40.13;41.6;39.89;40.35;545,670
