<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
PLZL;D;220624;000000;9295;9439.5;9122;9431.5;81152
PLZL;D;220627;000000;9140;9220;9002;9220;97990
PLZL;D;220628;000000;9183;9220;9010;9101;60878
PLZL;D;220629;000000;9094.5;9379.5;9041;9225;76740
PLZL;D;220630;000000;9261;9290;8824.5;8850;102572
PLZL;D;220701;000000;8825.5;8958.5;8362.5;8464;98358
PLZL;D;220704;000000;8489.5;8505;7855.5;7997.5;169221
PLZL;D;220705;000000;7967;8174;7925;8100;106483
PLZL;D;220706;000000;8090;8300;7980;8020;92046
PLZL;D;220707;000000;8027.5;8342;8009;8225;97232
PLZL;D;220708;000000;8306.5;8496;8120;8376;74441
PLZL;D;220711;000000;8399;8673;8280;8484;121090
PLZL;D;220712;000000;8510.5;8567;8129;8320;79672
PLZL;D;220713;000000;8350;8388.5;7862;8171;113092
PLZL;D;220714;000000;8149.5;8342;8071;8182;50082
PLZL;D;220715;000000;8206;8375;8120;8375;32645
PLZL;D;220718;000000;8360;8494;8271.5;8271.5;39643
PLZL;D;220719;000000;8292.5;8344;8107;8260;28156
PLZL;D;220720;000000;8260;8353;8117;8179.5;33777
PLZL;D;220721;000000;8132;8168;7870.5;7933.5;81895
PLZL;D;220722;000000;7910;7913;7511;7717;94565
PLZL;D;220725;000000;7701.5;7843;7539;7676.5;93347
PLZL;D;220726;000000;7678.5;7998.5;7676;7998.5;61088
PLZL;D;220727;000000;8010;8279;8004.5;8155.5;74065
PLZL;D;220728;000000;8242;8373.5;7958;8242.5;78526
PLZL;D;220729;000000;8299;8644;8195;8644;92950
PLZL;D;220801;000000;8654.5;8850.5;8275;8527;206626
PLZL;D;220802;000000;8500.5;8648;8095.5;8095.5;90287
PLZL;D;220803;000000;8115;8166.5;7775;7813;179656
PLZL;D;220804;000000;7825.5;7865;7479;7514;167383
PLZL;D;220805;000000;7506;7550;7155.5;7261;183016
PLZL;D;220808;000000;7262;7535;7200;7200;137166
PLZL;D;220809;000000;7207.5;7250;6951;7100;204113
PLZL;D;220810;000000;7110;7476;7004;7439;182514
PLZL;D;220811;000000;7460;7677;7350;7475.5;186736
PLZL;D;220812;000000;7489;7535.5;7325;7510;104164
PLZL;D;220815;000000;7518;7699.5;7440.5;7610;79554
PLZL;D;220816;000000;7637.5;7979;7603.5;7975;129914
PLZL;D;220817;000000;8020;8077;7782.5;7855;110938
PLZL;D;220818;000000;7855;7897;7670;7814.5;104064
PLZL;D;220819;000000;7802;7945;7727;7890;64753
PLZL;D;220822;000000;7820;7880;7714.5;7750;67938
PLZL;D;220823;000000;7750;7850.5;7714;7820;51834
PLZL;D;220824;000000;7833;7935;7820;7908;55527
PLZL;D;220825;000000;7930;8182.5;7930;8001;117446
PLZL;D;220826;000000;8017.5;8235;7862;8197;88861
PLZL;D;220829;000000;8200;8230;8050;8198;69341
PLZL;D;220830;000000;8198;8412.5;8146;8180;149692
PLZL;D;220831;000000;8200;8320;8060;8320;98492
PLZL;D;220901;000000;8286.5;8358;8155.5;8275;77230
PLZL;D;220902;000000;8300;8378.5;8276;8378.5;72012
PLZL;D;220905;000000;8380;8448.5;8248.5;8315;119071
PLZL;D;220906;000000;8324;8595;7757.5;8050;535789
PLZL;D;220907;000000;8052.5;8147.5;7934.5;7970;99162
PLZL;D;220908;000000;8049;8050;7951;7975;61662
PLZL;D;220909;000000;8010;8225;8010;8208;145517
PLZL;D;220912;000000;8218;8344.5;8170;8314.5;81491
PLZL;D;220913;000000;8320;8364.5;8170;8182;86141
PLZL;D;220914;000000;8137;8168;8019;8152;67743
PLZL;D;220915;000000;8140;8177;8075;8110;57923
PLZL;D;220916;000000;8102.5;8133;7771;8032;77819
PLZL;D;220919;000000;8035;8145;7958;8072;66185
PLZL;D;220920;000000;8095;8130;7196;7448;240583
PLZL;D;220921;000000;6950;7444.5;6617;7019.5;183120
PLZL;D;220922;000000;7002;7190;6860;6949.5;148479
PLZL;D;220923;000000;6950;6965;6292.5;6366;219007
PLZL;D;220926;000000;6300;6300;5500;5572.5;227293
PLZL;D;220927;000000;5690;5784.5;5151;5484;226905
PLZL;D;220928;000000;5474;5474.5;5275.5;5390;186681
PLZL;D;220929;000000;5416;5439.5;5020;5112.5;249404
PLZL;D;220930;000000;5127;5190;4910;5018;318779
PLZL;D;221003;000000;5025;5560;4961;5558.5;590649
PLZL;D;221004;000000;5586;6070;5457.5;5999;702261
PLZL;D;221005;000000;6010;6060;5625;5790;543436
PLZL;D;221006;000000;5799;5890;5731;5812;228557
PLZL;D;221007;000000;5795;5799;5313;5360;330680
PLZL;D;221010;000000;5216;5425;5124;5300;354314
PLZL;D;221011;000000;5334.5;5390;5208.5;5310.5;235406
PLZL;D;221012;000000;5340;5356.5;5190;5210;179824
PLZL;D;221013;000000;5199;5290;5131;5230;285310
PLZL;D;221014;000000;5259;5260;5071;5119;196590
PLZL;D;221017;000000;5145;5368;5110.5;5352;259774
PLZL;D;221018;000000;5349.5;5750;5252;5570;628460
